"Title","Progress","Type","MAL_Score","AniList_Score","Genres","Notes","MAL_URL","AniList_URL","Current_MAL_Score","Current_AniList_Score","Average_Score"
"Lycoris Recoil","0/13","TV","9.28","7.6","Action, Girls Love","","https://myanimelist.net/anime/50709/Lycoris_Recoil","https://anilist.co/anime/143270/Lycoris-Recoil","8.14","8.1","8.12"
"Frieren: Beyond Journey's End Season 2","0/10","TV","9.28","TBD","Adventure, Drama, Fantasy","[2024+] Upcoming 2026","https://myanimelist.net/anime/59978/Sousou_no_Frieren_2nd_Season","https://anilist.co/anime/182255/Sousou-no-Frieren-2nd-Season","9.28","8.9","9.09"
"Kaguya-sama: Love is War -Ultra Romantic-","0/13","TV","8.98","9","Comedy, Psychological, Romance","","https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic","https://anilist.co/anime/125367/Kaguya-sama-Love-is-War-Ultra-Romantic","8.96","8.9","8.93"
"Shikimori's Not Just a Cutie","0/12","TV","8.96","7.2","Comedy, Romance, School","","https://myanimelist.net/anime/45613/Kawaii_dake_ja_Nai_Shikimori-san","https://anilist.co/anime/127911/Kawaii-dake-ja-Nai-Shikimori-san","6.94","6.8","6.87"
"NANA","0/47","TV","8.83","8.5","Comedy, Drama, Music, Romance, Shoujo, Slice of Life","","https://myanimelist.net/anime/877/Nana","https://anilist.co/anime/877/Nana","8.57","8.5","8.54"
"91 Days","0/12","TV","8.78","7.9","Action, Drama, Historical","","https://myanimelist.net/anime/32998/91_Days","https://anilist.co/anime/21711/91Days","7.82","7.6","7.71"
"Seraph of the End: Battle in Nagoya","0/12","TV","8.74","7.6","Action, Drama, Military, Shounen, Supernatural, Vampire","","https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen","https://anilist.co/anime/20993/Owari-no-Seraph-Nagoya-Kessenhen","7.61","7.4","7.51"
"Tsuredure Children","0/12","TV","8.73","7.9","Comedy, Romance, School, Shounen","","https://myanimelist.net/anime/34902/Tsurezure_Children","https://anilist.co/anime/98291/Tsurezure-Children","7.53","7.4","7.47"
"MUSHI-SHI","0/26","TV","8.72","8.7","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","","https://myanimelist.net/anime/457/Mushishi","https://anilist.co/anime/457/Mushishi","8.65","8.5","8.58"
"Kabaneri of the Iron Fortress","0/12","TV","8.72","7.3","Action, Drama, Fantasy, Horror, Supernatural","","https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri","https://anilist.co/anime/21196/Koutetsujou-no-Kabaneri","7.28","7.0","7.14"
"Daily Lives of High School Boys","0/12","TV","8.72","8.2","Comedy, School, Seinen, Slice of Life","","https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou","https://anilist.co/anime/11843/Danshi-Koukousei-no-Nichijou","8.23","8.0","8.12"
"Mob Psycho 100 III","0/12","TV","8.71","8.8","Action, Comedy, Supernatural","","https://myanimelist.net/anime/50172/Mob_Psycho_100_III","https://anilist.co/anime/140439/Mob-Psycho-100-III","8.71","8.7","8.71"
"Gate","0/12","TV","8.71","7.7","Action, Adventure, Fantasy, Military","","https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri","https://anilist.co/anime/20994/GATE-Jieitai-Kanochi-nite-Kaku-Tatakaeri","7.68","7.4","7.54"
"Fruits Basket Season 2","0/25","TV","8.69","7.5","Comedy, Drama, Romance, Supernatural, Slice of Life","","https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season","https://anilist.co/anime/111762/Fruits-Basket-2nd-Season","8.53","8.5","8.52"
"Spice and Wolf","0/13","TV","8.68","8.3","Adventure, Fantasy, Historical, Romance, Supernatural","","https://myanimelist.net/anime/2966/Ookami_to_Koushinryou","https://anilist.co/anime/2966/Ookami-to-Koushinryou","8.21","8.0","8.11"
"Princess Mononoke","0/1","Movie","8.68","8.3","Action, Adventure, Fantasy, Historical","","https://myanimelist.net/anime/164/Mononoke_Hime","https://anilist.co/anime/164/Mononokehime","8.67","8.5","8.59"
"86 EIGHTY-SIX Part 2","0/12","TV","8.68","8.8","Action, Drama, Mecha, Military, Sci-Fi","","https://myanimelist.net/anime/48569/86_Part_2","https://anilist.co/anime/131586/86-Eighty-Six-Part-2","8.72","8.7","8.71"
"Snow White with the Red Hair","0/12","TV","8.67","8.2","Fantasy, Romance, Shoujo, Slice of Life","","https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime","https://anilist.co/anime/21058/Akagami-no-Shirayukihime","7.80","7.6","7.7"
"Vivy -Fluorite Eye's Song-","0/13","TV","8.66","8.5","Action, Sci-Fi, Suspense","","https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song","FAILED_LOOKUP","8.38","","8.44"
"Mob Psycho 100 II","0/13","TV","8.65","8.7","Action, Comedy, Supernatural","","https://myanimelist.net/anime/37510/Mob_Psycho_100_II","FAILED_LOOKUP","8.78","","8.74"
"Ranking of Kings","0/23","TV","8.62","8.6","Adventure, Fantasy","","https://myanimelist.net/anime/40834/Ousama_Ranking","FAILED_LOOKUP","8.48","","8.54"
"Darker than Black","0/25","TV","8.62","7.8","Action, Mystery, Sci-Fi, Super Power","","https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha","FAILED_LOOKUP","8.04","","7.92"
"INUYASHIKI LAST HERO","0/11","TV","8.61","7.7","Action, Drama, Psychological, Sci-Fi, Seinen","","https://myanimelist.net/anime/34542/Inuyashiki","FAILED_LOOKUP","7.63","","7.67"
"Fruits Basket The Final Season","0/13","TV","8.61","7.9","Drama, Romance, Shoujo, Slice of Life, Supernatural","","https://myanimelist.net/anime/42938/Fruits_Basket__The_Final","FAILED_LOOKUP","8.94","","8.42"
"K","0/13","TV","8.56","7.6","Action, Magic, Supernatural","","https://myanimelist.net/anime/14467/K","FAILED_LOOKUP","7.42","","7.51"
"Josee, the Tiger and the Fish","0/1","Movie","8.53","8.57","8.6, Drama, Romance, Slice of Life","","https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi","FAILED_LOOKUP","8.38","","8.48"
"The Promised Neverland","0/12","TV","8.52","8.3","Thriller, Mystery, Psychological, Shounen","","https://myanimelist.net/anime/37779/Yakusoku_no_Neverland","FAILED_LOOKUP","8.47","","8.39"
"Monster Musume: Everyday Life With Monster Girls","0/12","TV","8.52","6.9","Comedy, Ecchi, Fantasy, Harem, Romance, Seinen","","https://myanimelist.net/anime/30307/Monster_Musume_no_Iru_Nichijou","FAILED_LOOKUP","6.92","","6.91"
"Summer Time Rendering","0/25","TV","8.50","8.6","Mystery, Supernatural, Suspense","","https://myanimelist.net/anime/47194/Summertime_Render","FAILED_LOOKUP","8.47","","8.54"
"Samurai Champloo","0/26","TV","8.50","8.5","Action, Adventure, Comedy, Historical, Samurai","","https://myanimelist.net/anime/205/Samurai_Champloo","FAILED_LOOKUP","8.52","","8.51"
"Haganai","0/12","TV","8.5","7.4","Comedy, Ecchi, Harem, Romance, School, Seinen","","https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai","FAILED_LOOKUP","7.13","","7.27"
"Chainsaw Man  The Movie: Reze Arc","0/1","Movie","8.5","TBD","Action, Fantasy, Shounen","[2024+] Upcoming 2025","UNRELEASED","UNRELEASED","7.13","Unrated","7.13"
"Mob Psycho 100","0/12","TV","8.49","8.5","Action, Comedy, Drama, Psychological, Slice of Life, Supernatural","","https://myanimelist.net/anime/32182/Mob_Psycho_100","FAILED_LOOKUP","8.49","","8.5"
"Amagi Brilliant Park","0/13","TV","8.49","7.6","Comedy, Fantasy, Magic","","https://myanimelist.net/anime/22147/Amagi_Brilliant_Park","FAILED_LOOKUP","7.45","","7.53"
"Nichijou - My Ordinary Life","0/26","TV","8.47","8.5","Comedy, School, Slice of Life","","https://myanimelist.net/anime/10165/Nichijou","FAILED_LOOKUP","8.47","","8.48"
"Akudama Drive","0/12","TV","8.47","7.9","Action, Sci-Fi, Suspense","","https://myanimelist.net/anime/41433/Akudama_Drive","FAILED_LOOKUP","7.57","","7.74"
"Tsukigakirei","0/12","TV","8.46","8.1","Romance, School","","https://myanimelist.net/anime/34822/Tsuki_ga_Kirei","FAILED_LOOKUP","8.02","","8.06"
"To Be Hero X","0/24","ONA","8.46","TBD","Action, Comedy","[2024+] Upcoming 2025","UNRELEASED","UNRELEASED","8.02","Unrated","8.02"
"Made in Abyss: Dawn of the Deep Soul","1/1","Movie","8.46","8.6","Adventure, Drama, Fantasy, Mystery, Sci-Fi, Seinen","","https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei","FAILED_LOOKUP","8.61","","8.61"
"Kaguya-sama: Love is War?","0/12","TV","8.46","8.3","Comedy, Psychological, Romance","","https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen","FAILED_LOOKUP","8.66","","8.48"
"Tomodachi Game","0/12","ONA","8.45","7.8","Drama, Mystery, Psychological, Shounen","","https://myanimelist.net/anime/50273/Tomodachi_Game","FAILED_LOOKUP","7.71","","7.75"
"The Asterisk War","0/12","TV","8.45","6.9","Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi","","https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk","FAILED_LOOKUP","6.8","","6.85"
"The Familiar of Zero","0/13","TV","8.42","7.3","Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School","","https://myanimelist.net/anime/1195/Zero_no_Tsukaima","FAILED_LOOKUP","7.2","","7.25"
"March comes in like a lion","0/22","TV","8.42","8.4","Drama, Game, Seinen, Slice of Life, Sports","","https://myanimelist.net/anime/31646/3-gatsu_no_Lion","FAILED_LOOKUP","8.37","","8.38"
"Grand Blue Dreaming","0/12","TV","8.42","8.5","Comedy, Seinen, Slice of Life","","https://myanimelist.net/anime/37105/Grand_Blue","FAILED_LOOKUP","8.45","","8.47"
"Made in Abyss: The Golden City of the Scorching Sun","0/12","TV","8.4","8.7","Adventure, Drama, Fantasy, Mystery, Sci-Fi","","https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou","FAILED_LOOKUP","8.6","","8.65"
"Kaguya-sama: Love is War","12/12","TV","8.40","8.4","Comedy, Psychological, Romance, School, Seinen","","https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen","FAILED_LOOKUP","8.4","","8.4"
"Gleipnir","0/13","TV","8.39","7","Action, Ecchi, Mystery, Seinen, Supernatural","","https://myanimelist.net/anime/39463/Gleipnir","FAILED_LOOKUP","6.95","","6.97"
"ODDTAXI","0/13","TV","8.38","8.8","Mystery, Suspense, Slice of Life, Drama","","https://myanimelist.net/anime/46102/Odd_Taxi","FAILED_LOOKUP","8.63","","8.71"
